tract,all,all_no,all_hs,all_col,white,white_no,white_hs,white_col,black,black_no,black_hs,black_col,aian,aian_no,aian_hs,aian_col,asian,asian_no,asian_hs,asian_col,nhpi,nhpi_no,nhpi_hs,nhpi_col,other,other_no,other_hs,other_col,multi,multi_no,multi_hs,multi_col,hisp,hisp_no,hisp_hs,hisp_col
6700,2022,21,2001,1819,1463,0,1463,1432,305,21,284,201,0,0,0,0,92,0,92,84,17,0,17,0,0,0,0,0,42,0,42,16,103,0,103,86
6801,921,9,912,631,518,0,518,424,250,9,241,54,0,0,0,0,127,0,127,127,0,0,0,0,0,0,0,0,13,0,13,13,13,0,13,13
6802,957,2,955,614,520,0,520,479,336,2,334,41,0,0,0,0,19,0,19,19,0,0,0,0,0,0,0,0,30,0,30,30,52,0,52,45
6804,2011,552,1459,173,195,10,185,77,1590,498,1092,40,32,0,32,11,7,0,7,0,0,0,0,0,50,22,28,0,20,0,20,20,117,22,95,25
6900,972,14,958,884,762,0,762,760,141,14,127,56,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,34,0,34,34,34,0,34,34
7000,1086,0,1086,1014,895,0,895,847,21,0,21,21,0,0,0,0,21,0,21,21,0,0,0,0,33,0,33,33,19,0,19,19,97,0,97,73
7100,1171,104,1067,651,561,9,552,439,425,95,330,71,0,0,0,0,41,0,41,41,0,0,0,0,0,0,0,0,31,0,31,24,113,0,113,76
7201,923,0,923,832,611,0,611,558,31,0,31,31,0,0,0,0,36,0,36,17,0,0,0,0,31,0,31,31,72,0,72,72,142,0,142,123
7202,1477,0,1477,1431,1236,0,1236,1190,113,0,113,113,0,0,0,0,76,0,76,76,0,0,0,0,0,0,0,0,13,0,13,13,39,0,39,39
7203,872,14,858,786,618,0,618,610,182,14,168,112,0,0,0,0,36,0,36,36,0,0,0,0,0,0,0,0,9,0,9,9,27,0,27,19
7301,1482,0,1482,959,1024,0,1024,702,265,0,265,118,0,0,0,0,38,0,38,27,0,0,0,0,8,0,8,0,70,0,70,70,77,0,77,42
7304,1381,223,1158,229,103,6,97,97,1213,161,1052,123,0,0,0,0,0,0,0,0,0,0,0,0,28,28,0,0,9,0,9,9,28,28,0,0
7401,348,95,253,63,32,4,28,6,263,67,196,41,0,0,0,0,16,0,16,16,0,0,0,0,12,12,0,0,0,0,0,0,25,12,13,0
7403,578,82,496,29,0,0,0,0,525,29,496,29,0,0,0,0,0,0,0,0,0,0,0,0,53,53,0,0,0,0,0,0,0,0,0,0
7404,1200,100,1100,263,112,0,112,112,958,100,858,105,0,0,0,0,21,0,21,21,0,0,0,0,47,0,47,16,9,0,9,9,53,0,53,0
7406,393,42,351,103,3,0,3,0,268,28,240,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,42,42,38,14,24,19,42,0,42,42
7406,594,38,556,123,46,3,43,43,544,35,509,80,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7408,927,144,783,71,76,0,76,11,807,114,693,60,0,0,0,0,0,0,0,0,0,0,0,0,22,15,7,0,0,0,0,0,22,15,7,0
7409,1038,565,473,145,0,0,0,0,749,317,432,116,0,0,0,0,12,0,12,0,0,0,0,0,124,124,0,0,29,0,29,29,124,124,0,0
7502,1301,278,1023,165,16,0,16,8,1269,278,991,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,13,0,0,0,0
7503,694,112,582,193,107,10,97,73,527,92,435,88,0,0,0,0,0,0,0,0,2,0,2,2,15,0,15,15,0,0,0,0,43,10,33,15
7504,900,129,771,165,16,2,14,0,870,113,757,165,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,7,7,0,0
7601,1608,425,1183,466,258,74,184,152,1202,237,965,280,0,0,0,0,18,0,18,18,0,0,0,0,32,32,0,0,7,0,7,7,91,82,9,9
7603,1012,156,856,498,70,0,70,70,853,137,716,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,49,23,40,19,21,21
7604,1423,225,1198,307,96,0,96,66,1202,225,977,156,0,0,0,0,26,0,26,26,0,0,0,0,2,0,2,0,70,0,70,34,27,0,27,25
7605,1300,163,1137,194,43,0,43,0,1183,163,1020,166,0,0,0,0,0,0,0,0,0,0,0,0,23,0,23,0,28,0,28,28,23,0,23,0
7703,2657,207,2450,103,16,0,16,16,1981,207,1774,87,0,0,0,0,0,0,0,0,0,0,0,0,330,0,330,0,0,0,0,0,330,0,330,0
7706,1310,190,1120,294,48,0,48,48,991,186,805,182,0,0,0,0,0,0,0,0,0,0,0,0,36,0,36,26,104,0,104,2,131,4,127,36
7708,755,167,588,56,0,0,0,0,724,167,557,56,29,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
7709,639,91,548,131,16,9,7,2,590,73,517,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,18,0,15,9,6,0
7803,1301,233,1068,281,122,6,116,74,1134,227,907,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,0,33,0,33,0
7804,995,253,742,355,51,0,51,51,888,253,635,254,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,12,0,12,12,38,0,38,38
7806,1132,48,1084,120,29,0,29,28,1071,18,1053,92,30,30,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
7806,931,47,884,122,16,5,11,11,873,34,839,111,5,5,0,0,0,0,0,0,0,0,0,0,14,0,14,0,6,0,6,0,17,3,14,0
7808,1398,310,1088,272,0,0,0,0,1225,299,926,229,43,0,43,43,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,0,119,0,119,0
7809,797,102,695,55,0,0,0,0,706,88,618,55,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,40,14,26,0,41,0,41,0
7901,1735,43,1692,1032,382,0,382,355,1181,43,1138,553,0,0,0,0,17,0,17,17,0,0,0,0,16,0,16,16,39,0,39,14,100,0,100,77
7903,697,78,619,325,196,0,196,177,448,78,370,122,7,0,7,0,11,0,11,11,0,0,0,0,10,0,10,0,4,0,4,4,21,0,21,11
8001,1263,1,1262,1110,958,0,958,892,202,0,202,116,0,0,0,0,50,0,50,50,0,0,0,0,10,0,10,10,1,1,0,0,42,0,42,42
8002,1345,69,1276,1020,959,13,946,874,272,43,229,55,0,0,0,0,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,107,13,94,84
8100,1498,18,1480,1248,1171,0,1171,1057,73,18,55,29,8,0,8,8,24,0,24,24,0,0,0,0,57,0,57,11,13,0,13,13,152,0,152,106
