"tract","offense","lat","long","female_pop","male_pop","total_pop","white","black","aian","asian","nhpi","other","multi","hisp"
102,"THEFT/OTHER","38.9052439817","-77.0575645024",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT F/AUTO","38.9084393718","-77.06257091",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT F/AUTO","38.905998831","-77.0612083276",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT F/AUTO","38.9034220422","-77.0619670139",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9076197296","-77.0623511319",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT F/AUTO","38.9115500199","-77.0571660398",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"MOTOR VEHICLE THEFT","38.9060722107","-77.0586489134",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT F/AUTO","38.9092682256","-77.0624102214",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9064303563","-77.0628573785",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9152289174","-77.0675004574",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT F/AUTO","38.9064502938","-77.0591795692",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"MOTOR VEHICLE THEFT","38.9093151798","-77.0587207582",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9162194455","-77.0681701824",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9043052797","-77.0611722877",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT F/AUTO","38.9076197296","-77.0623511319",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9038924725","-77.0580822088",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"BURGLARY","38.9052068897","-77.0596742862",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT F/AUTO","38.9115500199","-77.0571660398",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT F/AUTO","38.9025854892","-77.0596144501",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9025842716","-77.0619547575",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT F/AUTO","38.9129350658","-77.0615717192",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT F/AUTO","38.9034220422","-77.0619670139",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"BURGLARY","38.9116356821","-77.065583064",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9052068897","-77.0596742862",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9025842716","-77.0619547575",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9051883564","-77.0606772966",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT F/AUTO","38.9092682256","-77.0624102214",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT F/AUTO","38.9034220422","-77.0619670139",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT F/AUTO","38.905998831","-77.0612083276",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT F/AUTO","38.9060722107","-77.0586489134",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9043052797","-77.0611722877",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT F/AUTO","38.906800087","-77.0621313588",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT F/AUTO","38.9030080953","-77.0611365892",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9055925925","-77.062833582",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT F/AUTO","38.9099280066","-77.0582024217",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT F/AUTO","38.9034220422","-77.0619670139",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9064303563","-77.0628573785",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT F/AUTO","38.9038914343","-77.0601343386",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9092494365","-77.0638398866",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9064303563","-77.0628573785",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"BURGLARY","38.9104852984","-77.0606126235",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9047239407","-77.0619457788",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9105820159","-77.0650286597",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9064303563","-77.0628573785",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9043052797","-77.0611722877",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT F/AUTO","38.9025854892","-77.0596144501",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT F/AUTO","38.9034220422","-77.0619670139",1530,1714,3244,2519,34,0,118,0,147,94,332
