tract,offense,lat,long
000202,THEFT F/AUTO,38.9039708033,-77.06336248
000202,THEFT/OTHER,38.9041655887,-77.0693461361
000202,THEFT/OTHER,38.9152289174,-77.0675004574
000202,THEFT F/AUTO,38.9029982188,-77.0627736533
000202,THEFT F/AUTO,38.9063097869,-77.068990815
000202,THEFT F/AUTO,38.9097431396,-77.0669764261
000202,THEFT F/AUTO,38.9029982188,-77.0627736533
000202,THEFT F/AUTO,38.9097242473,-77.0684868079
000202,THEFT/OTHER,38.9041655887,-77.0693461361
000202,THEFT F/AUTO,38.9050858456,-77.066937466
000202,BURGLARY,38.9056506524,-77.0715265815
000202,THEFT/OTHER,38.9051135903,-77.0656692995
000202,BURGLARY,38.9050490585,-77.0682402098
000202,BURGLARY,38.9078347976,-77.0644381525
000202,THEFT/OTHER,38.9055277468,-77.066073199
000202,THEFT/OTHER,38.9051505514,-77.0639976245
000202,THEFT/OTHER,38.9059326302,-77.0669382606
000202,THEFT F/AUTO,38.9055277468,-77.066073199
000202,THEFT/OTHER,38.9051505514,-77.0639976245
000202,THEFT/OTHER,38.9077272025,-77.0635156997
000202,THEFT F/AUTO,38.9029982188,-77.0627736533
000202,THEFT/OTHER,38.9051505514,-77.0639976245
000202,ROBBERY,38.9050858456,-77.066937466
